iteration, error_rate
701,0.89888
702,0.898751
703,0.898606
704,0.898608
705,0.898971
706,0.900661
707,0.901897
708,0.901898
709,0.901896
710,0.901459
711,0.888194
712,0.879182
713,0.878929
714,0.878884
715,0.878834
716,0.87874
717,0.87874
718,0.87874
719,0.87874
720,0.878645
721,0.878645
722,0.878604
723,0.878604
724,0.877486
725,0.875472
726,0.875192
727,0.872084
728,0.81461
729,0.800595
730,0.797208
731,0.792592
732,0.789504
733,0.78733
734,0.787335
735,0.797157
736,0.794042
737,0.83095
738,0.816453
739,0.807444
740,0.805304
741,0.811477
742,0.831511
743,0.819653
744,0.849138
745,0.840918
746,0.853429
747,0.840261
748,0.837437
749,0.844487
750,0.826266
751,0.83239
752,0.837094
753,0.854495
754,0.838011
755,0.828452
756,0.853393
757,0.8644
758,0.860547
759,0.856219
760,0.840152
761,0.843844
762,0.872948
763,0.861098
764,0.873002
765,0.86935
766,0.854574
767,0.858369
768,0.865559
769,0.857064
770,0.851949
771,0.871525
772,0.867686
773,0.853021
774,0.864274
775,0.850352
776,0.855206
777,0.863057
778,0.846688
779,0.852881
780,0.860767
781,0.845375
782,0.842378
783,0.858913
784,0.842605
785,0.834577
786,0.846382
787,0.837709
788,0.856011
789,0.84519
790,0.841346
791,0.848557
792,0.846728
793,0.835626
794,0.84571
795,0.85627
796,0.842327
797,0.841556
798,0.846997
799,0.841129
800,0.849453
801,0.846953
802,0.843544
803,0.847576
804,0.851964
805,0.846555
806,0.850331
807,0.850004
808,0.852561
809,0.84278
810,0.849833
811,0.847198
812,0.85425
813,0.853677
814,0.853209
815,0.844739
816,0.850838
817,0.844634
818,0.85245
819,0.848262
820,0.845419
821,0.847681
822,0.846498
823,0.844286
824,0.847444
825,0.848165
826,0.850414
827,0.843371
828,0.844551
829,0.85084
830,0.837869
831,0.841282
832,0.843172
833,0.846299
834,0.849435
835,0.845617
836,0.846368
837,0.846352
838,0.846536
839,0.849484
840,0.848138
841,0.841462
842,0.837975
843,0.839808
844,0.835724
845,0.831472
846,0.830444
847,0.825296
848,0.823242
849,0.828602
850,0.82057
851,0.82224
852,0.817357
853,0.826398
854,0.817983
855,0.817138
856,0.822655
857,0.808168
858,0.813363
859,0.814801
860,0.812588
861,0.823516
862,0.784491
863,0.780371
864,0.789746
865,0.798018
866,0.801962
867,0.811959
868,0.814904
869,0.814566
870,0.817017
871,0.812574
872,0.794224
873,0.782528
874,0.795347
875,0.789645
876,0.792114
877,0.800448
878,0.778137
879,0.775041
880,0.774408
881,0.795666
882,0.771957
883,0.770132
884,0.763351
885,0.760571
886,0.759154
887,0.757942
888,0.756106
889,0.755213
890,0.756335
891,0.755229
892,0.750424
893,0.760041
894,0.756846
895,0.750856
896,0.749414
897,0.749971
898,0.750154
899,0.748495
900,0.746553
901,0.746132
902,0.744716
903,0.743871
904,0.743379
905,0.742002
906,0.739829
907,0.740776
908,0.740052
909,0.738389
910,0.740183
911,0.740541
912,0.739579
913,0.738017
914,0.737958
915,0.737105
916,0.740599
917,0.743613
918,0.74637
919,0.750015
920,0.752052
921,0.752954
922,0.754535
923,0.755701
924,0.756126
925,0.75622
926,0.757223
927,0.756483
928,0.758998
929,0.757822
930,0.752106
931,0.757495
932,0.749398
933,0.746082
934,0.752078
935,0.783698
936,0.892182
937,0.848139
938,0.880048
939,0.886106
940,0.890634
941,0.890803
942,0.897185
943,0.895002
944,0.889883
945,0.891067
946,0.906057
947,0.889807
948,0.904457
949,0.904038
950,0.866084
951,0.890396
952,0.887713
953,0.861783
954,0.847973
955,0.825007
956,0.813216
957,0.808962
958,0.807069
959,0.782355
960,0.771913
961,0.767286
962,0.763226
963,0.758348
964,0.756641
965,0.755322
966,0.754284
967,0.753865
968,0.753556
969,0.753319
970,0.7531
971,0.752587
972,0.75207
973,0.75154
974,0.75115
975,0.750005
976,0.748961
977,0.748424
978,0.747514
979,0.747155
980,0.746711
981,0.746246
982,0.745932
983,0.745593
984,0.745557
985,0.745513
986,0.745271
987,0.745371
988,0.745087
989,0.745172
990,0.745116
991,0.745035
992,0.745029
993,0.74499
994,0.745234
995,0.744931
996,0.745156
997,0.744943
998,0.745146
999,0.74534
